name,files,MCC,HAL,TERM,VAR,size
java,"./java/JavaParser.g4,./java/JavaLexer.g4",406.0,46021.59815401964,145.0,222.0,medium
javascript,"./javascript/JavaScriptParser.g4,./javascript/JavaScriptLexer.g4",731.0,58796.16240400624,526.0,194.0,medium
jpa,./jpa/JPA.g4,178.0,18519.74727293965,88.0,92.0,medium
json,./json/JSON.g4,40.0,2349.0056647042043,33.0,14.0,small
kirikiri-tjs,"./kirikiri-tjs/TJSParser.g4,./kirikiri-tjs/TJSLexer.g4",731.0,57195.533850165215,534.0,188.0,medium
kotlin-formal,"./kotlin-formal/KotlinParser.g4,./kotlin-formal/KotlinLexer.g4,./kotlin-formal/UnicodeClasses.g4",2390.0,166704.53629595524,1788.0,338.0,large
kotlin,"./kotlin/KotlinParser.g4,./kotlin/KotlinLexer.g4,./kotlin/UnicodeClasses.g4",2347.0,164046.87481143948,1824.0,306.0,large
kuka,./kuka/krl.g4,227.0,42616.11786247274,97.0,186.0,medium
lambda,./lambda/lambda.g4,8.0,333.29692543513715,11.0,6.0,small
lcc,./lcc/lcc.g4,15.0,871.3808820615088,7.0,11.0,small
less,"./less/LessParser.g4,./less/LessLexer.g4",224.0,27217.615611620124,158.0,176.0,medium
logo,./logo/logo.g4,71.0,6270.0518599395045,51.0,44.0,medium
lolcode,./lolcode/lolcode.g4,58.0,5943.281291176811,53.0,33.0,medium
lua,./lua/Lua.g4,177.0,13254.540093782594,91.0,56.0,medium
masm,./masm/MASM.g4,322.0,46504.090722912566,290.0,318.0,large
matlab,./matlab/matlab.g4,76.0,10343.218816719314,52.0,63.0,medium
mdx,./mdx/mdx.g4,92.0,13402.852976218688,62.0,103.0,medium
memcached_protocol,./memcached_protocol/memcached_protocol.g4,65.0,4219.429357353657,39.0,44.0,medium
metric,./metric/metric.g4,51.0,1752.6,51.0,9.0,small
modelica,./modelica/modelica.g4,250.0,22229.4070875025,122.0,91.0,medium
modula2pim4,./modula2pim4/m2pim4.g4,193.0,18044.74592149079,96.0,126.0,medium
molecule,./molecule/molecule.g4,134.0,4496.811278422686,128.0,11.0,small
moo,./moo/moo.g4,108.0,11660.50336592469,74.0,77.0,medium
morsecode,./morsecode/morsecode.g4,38.0,3621.489054264927,6.0,42.0,medium
mps,./mps/mps.g4,62.0,5594.2320504938025,48.0,41.0,medium
muddb,./muddb/muddb.g4,62.0,2371.8787429312906,32.0,25.0,medium
mumath,./mumath/mumath.g4,60.0,7255.786450290301,46.0,57.0,medium
mumps,./mumps/mumps.g4,155.0,19870.669487779443,90.0,122.0,medium
muparser,./muparser/MuParser.g4,68.0,3236.5022490188503,62.0,36.0,medium
mysql,"./mysql/MySqlParser.g4,./mysql/MySqlLexer.g4",2510.0,345362.1175529022,993.0,1306.0,large
objc-one-step,"./objc/ObjectiveCParser.g4,./objc/one-step-processing/ObjectiveCLexer.g4,./objc/one-step-processing/ObjectiveCPreprocessorParser.g4",540.0,67915.31549401763,196.0,329.0,large
objc-two-step,"./objc/ObjectiveCParser.g4,./objc/two-step-processing/ObjectiveCLexer.g4",507.0,64359.30595044851,195.0,325.0,large
oncrpc,./oncrpc/oncrpcv2.g4,7.0,502.79391141573694,10.0,6.0,small
xdr,./oncrpc/xdr.g4,55.0,3567.951903890395,49.0,21.0,medium
pascal,./pascal/pascal.g4,163.0,35633.29541690528,91.0,204.0,medium
pcre,./pcre/PCRE.g4,274.0,39402.62251098833,132.0,168.0,medium
pddl,./pddl/Pddl.g4,165.0,25575.746650077446,133.0,119.0,medium
pdn,./pdn/pdn.g4,32.0,2070.4286173162877,22.0,18.0,small
pdp7,./pdp7/pdp7.g4,163.0,8459.995264471348,121.0,35.0,medium
peoplecode,./peoplecode/PeopleCode.g4,119.0,11576.851074046886,100.0,52.0,medium
pgn,./pgn/PGN.g4,42.0,3864.9535602716273,36.0,35.0,medium
php,"./php/PhpParser.g4,./php/PhpLexer.g4",511.0,42378.515192618,63.0,142.0,medium
pike,./pike/pike.g4,164.0,13843.888070453972,101.0,60.0,medium
pl0,./pl0/pl0.g4,61.0,7113.998383907159,77.0,61.0,medium
plsql,"./plsql/PlSqlParser.g4,./plsql/PlSqlLexer.g4",5598.0,826673.5210452896,2271.0,3004.0,large
ply,./ply/ply.g4,37.0,2992.4958304249776,30.0,21.0,medium
postalcode,./postalcode/postalcode.g4,3.0,110.41684502221163,6.0,4.0,small
powerbuilder,"./powerbuilder/powerbuilderParser.g4,./powerbuilder/powerbuilderLexer.g4",406.0,65765.29915329597,108.0,261.0,large
p,./p/p.g4,7.0,284.3888850983657,8.0,7.0,small
prolog,./prolog/prolog.g4,164.0,9033.725748786284,94.0,40.0,medium
propcalc,./propcalc/propcalc.g4,16.0,983.7614975915246,16.0,19.0,small
properties,./properties/properties.g4,38.0,1265.2231441797585,20.0,10.0,small
protobuf3,./protobuf3/Protobuf3.g4,139.0,16792.475199006563,85.0,111.0,medium
prov-n,./prov-n/PROV_N.g4,185.0,18343.846475674563,104.0,83.0,medium
python2-js,./python2-js/Python2.g4,308.0,23138.248183152456,111.0,98.0,medium
python2,./python2/Python2.g4,308.0,23138.248183152456,111.0,98.0,medium
python3alt,./python3alt/AltPython3.g4,847.0,64586.47198880687,650.0,205.0,medium
python3-cs,./python3-cs/Python3.g4,867.0,64891.14128461442,653.0,210.0,medium
python3-js,./python3-js/Python3.g4,824.0,63543.47862439446,648.0,203.0,medium
python3-py,./python3-py/Python3.g4,867.0,64891.14128461442,653.0,210.0,medium
python3,./python3/Python3.g4,867.0,64891.14128461442,653.0,210.0,medium
python3-ts,./python3-ts/Python3.g4,824.0,63543.47862439446,648.0,203.0,medium
quakemap,./quakemap/quakemap.g4,29.0,1580.674049721874,17.0,13.0,small
rcs,./rcs/RCS.g4,52.0,6318.918241280239,34.0,54.0,medium
redcode,./redcode/redcode.g4,41.0,3766.0752473018456,38.0,35.0,medium
rego,"./rego/RegoParser.g4,./rego/RegoLexer.g4",102.0,12944.104050132293,60.0,88.0,medium
restructuredtext,./restructuredtext/ReStructuredText.g4,227.0,17054.56185694768,31.0,88.0,medium
rexx,"./rexx/RexxParser.g4,./rexx/RexxLexer.g4",356.0,54669.78850788417,87.0,293.0,large
rfc822-datetime,./rfc822-datetime/datetime.g4,39.0,2406.184862668372,41.0,15.0,small
rfc822-emailaddress,./rfc822-emailaddress/emailaddress.g4,42.0,3849.8579827948815,23.0,34.0,medium
robotwars,./robotwars/robotwar.g4,78.0,7336.969300580439,58.0,61.0,medium
romannumerals,./romannumerals/romannumerals.g4,32.0,1680.196373524677,23.0,31.0,medium
rpn,./rpn/rpn.g4,35.0,2197.860478194109,24.0,28.0,medium
r,"./r/R.g4,./r/RFilter.g4",240.0,11432.591539249714,91.0,30.0,medium
ruby,./ruby/Corundum.g4,217.0,23904.808831629347,71.0,133.0,medium
scala,./scala/Scala.g4,935.0,64603.04172280532,682.0,150.0,medium
scss,"./scss/ScssParser.g4,./scss/ScssLexer.g4",159.0,17970.198652822135,80.0,109.0,medium
sexpression,./sexpression/sexpression.g4,30.0,1596.0058794775134,17.0,13.0,small
sgf,./sgf/sgf.g4,108.0,3654.519113653949,85.0,22.0,medium
sharc,"./sharc/SHARCParser.g4,./sharc/SHARCLexer.g4",512.0,107816.8286943508,439.0,589.0,large
smalltalk,./smalltalk/Smalltalk.g4,151.0,9027.639756140145,50.0,80.0,medium
smiles,./smiles/smiles.g4,233.0,9269.55607995,210.0,26.0,medium
smtlibv2,./smtlibv2/SMTLIBv2.g4,289.0,31945.244322668346,142.0,218.0,medium
snobol,./snobol/snobol.g4,112.0,14718.135769798655,105.0,88.0,medium
solidity,./solidity/Solidity.g4,399.0,32363.598907703574,252.0,119.0,medium
sparql,./sparql/Sparql.g4,203.0,19445.497074965093,102.0,101.0,medium
sqlite,./sqlite/SQLite.g4,595.0,78263.80559909616,101.0,266.0,large
stacktrace,./stacktrace/StackTrace.g4,23.0,2663.3736047702946,23.0,34.0,medium
stringtemplate,"./stringtemplate/STParser.g4,./stringtemplate/STLexer.g4,./stringtemplate/LexUnicode.g4,./stringtemplate/LexBasic.g4",737.0,54524.21713238624,689.0,147.0,medium
suokif,./suokif/SUOKIF.g4,46.0,4418.8983050847455,27.0,32.0,medium
swift2,./swift2/Swift2.g4,618.0,73092.95983621677,228.0,327.0,large
swift3,./swift3/Swift3.g4,799.0,86830.8464363276,253.0,355.0,large
swift-fin,"./swift-fin/src/main/antlr4/SwiftFinParser.g4,./swift-fin/src/main/antlr4/SwiftFinLexer.g4",30.0,3140.1218141177546,12.0,32.0,medium
telephone,./telephone/telephone.g4,8.0,631.460222427723,8.0,9.0,small
thrift,./thrift/Thrift.g4,117.0,10281.558366407231,68.0,59.0,medium
tinybasic,./tinybasic/tinybasic.g4,45.0,2584.042598712113,28.0,16.0,small
tinyc,./tinyc/tinyc.g4,19.0,942.0832400063734,19.0,12.0,small
tinymud,./tinymud/tinymud.g4,84.0,7810.863441844366,69.0,67.0,medium
tiny,./tiny/tiny.g4,15.0,1201.3195589139136,14.0,16.0,small
tnsnames,"./tnsnames/tnsnamesParser.g4,./tnsnames/tnsnamesLexer.g4",152.0,42565.80941719664,76.0,199.0,medium
tnt,./tnt/tnt.g4,17.0,1075.7673258443626,21.0,18.0,small
toml,./toml/toml.g4,96.0,10367.408943672077,50.0,70.0,medium
tsql,"./tsql/TSqlParser.g4,./tsql/TSqlLexer.g4",3399.0,425247.92373454256,848.0,1321.0,large
tsv,./tsv/tsv.g4,15.0,563.5355787663467,6.0,8.0,small
turtle-doc,./turtle-doc/turtle.g4,202.0,15516.35817330176,116.0,89.0,medium
turtle,./turtle/TURTLE.g4,176.0,10250.79536860979,75.0,51.0,medium
ucb-logo,./ucb-logo/UCBLogo.g4,208.0,12937.92819115366,80.0,68.0,medium
unicode-graphemes,./unicode/graphemes/Graphemes.g4,39.0,2552.7142077152257,26.0,30.0,medium
unicode-classify,./unicode/unicode16/classify.g4,2895.0,102572.51504011336,2868.0,44.0,medium
upnp,./upnp/Upnp.g4,57.0,1946.1438323895475,53.0,20.0,small
url,./url/url.g4,37.0,2068.6590864848918,19.0,20.0,small
useragent,./useragent/useragent.g4,15.0,784.0840723832156,10.0,8.0,small
vb6,./vb6/VisualBasic6.g4,1045.0,134224.48229110648,146.0,404.0,large
vba,./vba/vba.g4,990.0,134448.4064516153,105.0,398.0,large
verilog,./verilog/Verilog2001.g4,758.0,91499.31524741334,208.0,340.0,large
vhdl,./vhdl/vhdl.g4,780.0,113331.13221592606,209.0,443.0,large
wat,"./wat/WatParser.g4,./wat/WatLexer.g4",340.0,39451.4568502999,200.0,172.0,medium
wavefront,./wavefront/WavefrontOBJ.g4,37.0,5070.920243600233,52.0,49.0,medium
webidl,./webidl/WebIDL.g4,236.0,21964.56054831842,102.0,106.0,medium
wkt,./wkt/wkt.g4,66.0,9275.274280543814,65.0,65.0,medium
xml,"./xml/XMLParser.g4,./xml/XMLLexer.g4",34.0,2686.406992541908,21.0,18.0,small
xpath,./xpath/xpath.g4,97.0,8722.291143851313,69.0,58.0,medium
xsd-regex,"./xsd-regex/regexParser.g4,./xsd-regex/regexLexer.g4",43.0,4297.7183154169015,12.0,35.0,medium
z-ops,"./z/ZOperatorParser.g4,./z/ZLexer.g4",44.0,3468.815828114796,4.0,25.0,medium
z,"./z/ZParser.g4,./z/ZLexer.g4",237.0,16558.400177791347,3.0,49.0,medium
