name,files,MCC,HAL,PROD,TERM,VAR,,Category
postalcode,./postalcode/postalcode.g4,3,110.416845022212,4,4,4,0.602059991327962,S
csv,./csv/CSV.g4,14,618.181818181818,6,5,6,0.778151250383644,S
lambda,./lambda/lambda.g4,8,333.296925435137,6,8,6,0.778151250383644,S
oncrpc,./oncrpc/oncrpcv2.g4,7,502.793911415737,6,10,6,0.778151250383644,S
p,./p/p.g4,7,284.388885098366,7,8,7,0.845098040014257,S
istc,./istc/istc.g4,7,495.750575590021,8,6,8,0.903089986991943,S
tsv,./tsv/tsv.g4,15,563.535578766347,8,6,8,0.903089986991943,S
useragent,./useragent/useragent.g4,15,784.084072383216,8,7,8,0.903089986991943,S
metric,./metric/metric.g4,51,1752.6,9,50,9,0.954242509439325,S
telephone,./telephone/telephone.g4,8,631.460222427723,9,7,9,0.954242509439325,S
properties,./properties/properties.g4,38,1265.22314417976,10,17,10,1,S
inf,./inf/inf.g4,48,1678.9053164976,11,23,11,1.04139268515823,S
lcc,./lcc/lcc.g4,15,871.380882061509,11,5,11,1.04139268515823,S
molecule,./molecule/molecule.g4,134,4496.81127842269,11,127,11,1.04139268515823,S
brainfuck,./brainfuck/brainfuck.g4,8,453.911287571395,12,8,12,1.07918124604762,S
tinyc,./tinyc/tinyc.g4,19,942.083240006373,12,17,12,1.07918124604762,S
cookie,./cookie/cookie.g4,25,1237.22773623908,13,12,13,1.11394335230684,S
fasta,./fasta/fasta.g4,27,1260.40997047249,13,19,13,1.11394335230684,S
fen,./fen/fen.g4,38,1110.82422359695,13,26,13,1.11394335230684,S
quakemap,./quakemap/quakemap.g4,29,1580.67404972187,13,14,13,1.11394335230684,S
sexpression,./sexpression/sexpression.g4,30,1596.00587947751,13,13,13,1.11394335230684,S
databank,./databank/databank.g4,22,1617.43391134331,14,15,14,1.14612803567824,S
json,./json/JSON.g4,40,2349.0056647042,14,28,14,1.14612803567824,S
rfc822-datetime,./rfc822-datetime/datetime.g4,39,2406.18486266837,15,37,15,1.17609125905568,S
gml,./gml/gml.g4,22,1553.3178736315,16,11,16,1.20411998265592,S
tinybasic,./tinybasic/tinybasic.g4,45,2584.04259871211,16,26,16,1.20411998265592,S
tiny,./tiny/tiny.g4,15,1201.31955891391,16,11,16,1.20411998265592,S
dice,"./dice/DiceNotation.g4,./dice/DiceNotationLexer.g4",18,1256.41561316954,17,11,17,1.23044892137827,S
cmake,./cmake/CMake.g4,73,2975.67259911302,18,19,18,1.25527250510331,S
pdn,./pdn/pdn.g4,32,2070.42861731629,18,18,18,1.25527250510331,S
tnt,./tnt/tnt.g4,17,1075.76732584436,18,21,18,1.25527250510331,S
xml,"./xml/XMLParser.g4,./xml/XMLLexer.g4",34,2686.40699254191,18,20,18,1.25527250510331,S
clf,./clf/clf.g4,38,2305.58004400973,19,15,19,1.27875360095283,S
propcalc,./propcalc/propcalc.g4,16,983.761497591525,19,14,19,1.27875360095283,S
upnp,./upnp/Upnp.g4,57,1946.14383238955,20,50,20,1.30102999566398,S
url,./url/url.g4,37,2068.65908648489,20,14,20,1.30102999566398,S
gff3,./gff3/gff3.g4,26,1986.07300909538,21,22,21,1.32221929473392,M
xdr,./oncrpc/xdr.g4,55,3567.95190389039,21,41,21,1.32221929473392,M
ply,./ply/ply.g4,37,2992.49583042498,21,27,21,1.32221929473392,M
fol,./fol/fol.g4,27,1534.1891989481,22,19,22,1.34242268082221,M
